,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
GER-Bundesliga,1011,Werder Bremen,Tim Wiese,GER,GK,28,1981,29,29,2608,29.0,51,1.76,154,103,66.9,9,9,10,5,17.2,,,,,
GER-Bundesliga,1011,Wolfsburg,André Lenz,GER,GK,36,1973,1,1,90,1.0,1,1.0,4,3,75.0,0,1,0,0,0.0,,,,,
GER-Bundesliga,1011,Wolfsburg,Diego Benaglio,SUI,GK,26,1983,28,28,2497,27.7,39,1.41,144,105,72.9,7,9,11,5,17.9,,,,,
GER-Bundesliga,1011,Wolfsburg,Marwin Hitz,SUI,GK,22,1987,6,5,473,5.3,8,1.52,30,22,73.3,2,1,3,1,20.0,,,,,
GER-Bundesliga,1112,Augsburg,Mohamed Amsif,MAR,GK,22,1989,6,6,540,6.0,8,1.33,35,27,77.1,2,1,3,2,33.3,,,,,
GER-Bundesliga,1112,Augsburg,Simon Jentzsch,GER,GK,35,1976,28,28,2520,28.0,41,1.46,148,107,72.3,6,13,9,7,25.0,,,,,
GER-Bundesliga,1112,Bayern Munich,Hans-Jörg Butt,GER,GK,37,1974,1,1,90,1.0,0,0.0,4,4,100.0,1,0,0,1,100.0,,,,,
GER-Bundesliga,1112,Bayern Munich,Manuel Neuer,GER,GK,25,1986,33,33,2970,33.0,22,0.67,78,56,71.8,22,4,7,17,51.5,,,,,
GER-Bundesliga,1112,Dortmund,Mitchell Langerak,AUS,GK,22,1988,2,2,180,2.0,3,1.5,6,3,50.0,2,0,0,0,0.0,,,,,
GER-Bundesliga,1112,Dortmund,Roman Weidenfeller,GER,GK,30,1980,32,32,2880,32.0,22,0.69,102,80,78.4,23,6,3,15,46.9,,,,,
GER-Bundesliga,1112,Freiburg,Daniel Batz,GER,GK,20,1991,1,1,90,1.0,4,4.0,6,2,33.3,0,0,1,0,0.0,,,,,
GER-Bundesliga,1112,Freiburg,Oliver Baumann,GER,GK,21,1990,33,33,2970,33.0,57,1.73,168,111,66.1,10,10,13,9,27.3,,,,,
GER-Bundesliga,1112,Gladbach,Marc-André ter Stegen,GER,GK,19,1992,34,34,3060,34.0,24,0.71,127,103,81.1,17,9,8,15,44.1,,,,,
GER-Bundesliga,1112,Hamburger SV,Jaroslav Drobný,CZE,GK,31,1979,32,32,2812,31.2,55,1.76,181,126,69.6,8,10,13,6,18.8,,,,,
GER-Bundesliga,1112,Hamburger SV,Sven Neuhaus,GER,GK,33,1978,3,2,248,2.8,2,0.73,12,10,83.3,0,2,1,1,50.0,,,,,
GER-Bundesliga,1112,Hannover 96,Ron-Robert Zieler,GER,GK,22,1989,34,34,3060,34.0,45,1.32,175,130,74.3,12,12,10,7,20.6,,,,,
GER-Bundesliga,1112,Hertha BSC,Sascha Burchert,GER,GK,21,1989,2,0,98,1.1,4,3.67,6,2,33.3,1,0,0,0,,,,,,
GER-Bundesliga,1112,Hertha BSC,Thomas Kraft,GER,GK,23,1988,34,34,2962,32.9,60,1.82,175,115,65.7,6,10,17,5,14.7,,,,,
GER-Bundesliga,1112,Hoffenheim,Daniel Haas,GER,GK,27,1983,1,1,90,1.0,,,,,,,,,,,,,,,
GER-Bundesliga,1112,Hoffenheim,Tom Starke,GER,GK,30,1981,33,33,2970,33.0,47,1.42,180,133,73.9,9,11,13,8,24.2,,,,,
GER-Bundesliga,1112,Kaiserslautern,Kevin Trapp,GER,GK,21,1990,23,23,2070,23.0,32,1.39,117,85,72.6,3,9,11,2,8.7,,,,,
GER-Bundesliga,1112,Kaiserslautern,Tobias Sippel,GER,GK,23,1988,11,11,990,11.0,22,2.0,63,41,65.1,1,2,8,2,18.2,,,,,
GER-Bundesliga,1112,Köln,Michael Rensing,GER,GK,27,1984,32,32,2880,32.0,71,2.22,182,111,61.0,7,5,20,6,18.8,,,,,
GER-Bundesliga,1112,Köln,Miro Varvodić,CRO,GK,22,1989,2,2,180,2.0,4,2.0,9,5,55.6,1,1,0,0,0.0,,,,,
GER-Bundesliga,1112,Leverkusen,Bernd Leno,GER,GK,19,1992,33,33,2970,33.0,42,1.27,137,95,69.3,15,8,9,11,33.3,,,,,
GER-Bundesliga,1112,Leverkusen,Fabian Giefer,GER,GK,21,1990,1,1,90,1.0,2,2.0,8,6,75.0,0,0,1,0,0.0,,,,,
GER-Bundesliga,1112,Mainz 05,Christian Wetklo,GER,GK,31,1980,22,22,1980,22.0,29,1.32,105,76,72.4,7,8,7,6,27.3,,,,,
GER-Bundesliga,1112,Mainz 05,Heinz Müller,GER,GK,33,1978,12,12,1080,12.0,22,1.83,60,38,63.3,2,4,6,3,25.0,,,,,
GER-Bundesliga,1112,Nürnberg,Alexander Stephan,GER,GK,24,1986,8,7,675,7.5,15,2.0,34,19,55.9,1,3,4,0,0.0,,,,,
GER-Bundesliga,1112,Nürnberg,Patrick Rakovsky,GER,GK,18,1993,2,2,180,2.0,2,1.0,7,5,71.4,1,0,1,1,50.0,,,,,
GER-Bundesliga,1112,Nürnberg,Raphael Schäfer,GER,GK,32,1979,25,25,2205,24.5,32,1.31,93,61,65.6,10,3,11,8,32.0,,,,,
GER-Bundesliga,1112,Schalke 04,Lars Unnerstall,GER,GK,21,1990,21,20,1815,20.2,25,1.24,91,66,72.5,12,4,5,6,30.0,,,,,
GER-Bundesliga,1112,Schalke 04,Mathias Schober,GER,GK,35,1976,1,0,1,0.0,0,0.0,0,0,,0,0,0,0,,,,,,
GER-Bundesliga,1112,Schalke 04,Ralf Fährmann,GER,GK,22,1988,9,9,748,8.3,13,1.56,47,34,72.3,5,0,3,1,11.1,,,,,
GER-Bundesliga,1112,Schalke 04,Timo Hildebrand,GER,GK,32,1979,6,5,495,5.5,6,1.09,25,19,76.0,3,0,2,1,20.0,,,,,
GER-Bundesliga,1112,Stuttgart,Sven Ulreich,GER,GK,22,1988,34,34,3060,34.0,46,1.35,166,120,72.3,15,8,11,8,23.5,,,,,
GER-Bundesliga,1112,Werder Bremen,Sebastian Mielitz,GER,GK,22,1989,7,6,613,6.8,13,1.91,30,17,56.7,1,2,4,0,0.0,,,,,
GER-Bundesliga,1112,Werder Bremen,Tim Wiese,GER,GK,29,1981,28,28,2447,27.2,45,1.66,147,102,69.4,10,7,10,5,17.9,,,,,
GER-Bundesliga,1112,Wolfsburg,Diego Benaglio,SUI,GK,27,1983,32,32,2880,32.0,57,1.78,163,106,65.0,12,5,15,7,21.9,,,,,
GER-Bundesliga,1112,Wolfsburg,Marwin Hitz,SUI,GK,23,1987,2,2,171,1.9,3,1.58,8,5,62.5,1,0,1,0,0.0,,,,,
GER-Bundesliga,1213,Augsburg,Alex Manninger,AUT,GK,35,1977,12,12,1080,12.0,17,1.42,59,42,71.2,4,3,5,3,25.0,,,,,
GER-Bundesliga,1213,Augsburg,Mohamed Amsif,MAR,GK,23,1989,17,17,1530,17.0,22,1.29,64,42,65.6,4,6,7,5,29.4,,,,,
GER-Bundesliga,1213,Augsburg,Simon Jentzsch,GER,GK,36,1976,5,5,450,5.0,12,2.4,23,11,47.8,0,0,5,0,0.0,,,,,
GER-Bundesliga,1213,Bayern Munich,Manuel Neuer,GER,GK,26,1986,31,31,2790,31.0,18,0.58,89,71,79.8,26,4,1,18,58.1,,,,,
GER-Bundesliga,1213,Bayern Munich,Tom Starke,GER,GK,31,1981,3,3,270,3.0,0,0.0,9,9,100.0,3,0,0,3,100.0,,,,,
GER-Bundesliga,1213,Dortmund,Mitchell Langerak,AUS,GK,23,1988,3,3,270,3.0,6,2.0,17,11,64.7,3,0,0,0,0.0,,,,,
GER-Bundesliga,1213,Dortmund,Roman Weidenfeller,GER,GK,31,1980,31,31,2781,30.9,36,1.17,103,67,65.0,16,9,6,8,25.8,,,,,
GER-Bundesliga,1213,Düsseldorf,Fabian Giefer,GER,GK,22,1990,34,34,3049,33.9,57,1.68,126,69,54.8,7,9,18,7,20.6,,,,,
GER-Bundesliga,1213,Düsseldorf,Robert Almer,AUT,GK,28,1984,1,0,11,0.1,0,0.0,1,1,100.0,0,0,0,0,,,,,,
GER-Bundesliga,1213,Eintracht Frankfurt,Aykut Özer,TUR,GK,19,1993,1,0,25,0.3,0,0.0,1,1,100.0,0,1,0,0,,,,,,
GER-Bundesliga,1213,Eintracht Frankfurt,Kevin Trapp,GER,GK,22,1990,26,26,2340,26.0,37,1.42,134,97,72.4,11,6,9,6,23.1,,,,,
GER-Bundesliga,1213,Eintracht Frankfurt,Oka Nikolov,MKD,GK,38,1974,8,8,695,7.7,9,1.17,36,27,75.0,3,2,2,2,25.0,,,,,
GER-Bundesliga,1213,Freiburg,Oliver Baumann,GER,GK,22,1990,34,34,3060,34.0,40,1.18,155,115,74.2,14,9,11,13,38.2,,,,,
GER-Bundesliga,1213,Gladbach,Christofer Heimeroth,GER,GK,30,1981,1,0,14,0.2,2,12.86,3,1,33.3,0,0,0,0,,,,,,
GER-Bundesliga,1213,Gladbach,Marc-André ter Stegen,GER,GK,20,1992,34,34,3046,33.8,47,1.39,169,122,72.2,12,11,11,9,26.5,,,,,
GER-Bundesliga,1213,Greuther Fürth,Max Grün,GER,GK,25,1987,17,17,1530,17.0,27,1.59,100,73,73.0,1,6,10,3,17.6,,,,,
GER-Bundesliga,1213,Greuther Fürth,Wolfgang Hesl,GER,GK,26,1986,17,17,1530,17.0,33,1.94,88,55,62.5,3,3,11,2,11.8,,,,,
GER-Bundesliga,1213,Hamburger SV,Jaroslav Drobný,CZE,GK,32,1979,2,2,180,2.0,1,0.5,9,8,88.9,1,1,0,1,50.0,,,,,
GER-Bundesliga,1213,Hamburger SV,René Adler,GER,GK,27,1985,32,32,2880,32.0,52,1.62,174,122,70.1,13,5,14,7,21.9,,,,,
GER-Bundesliga,1213,Hannover 96,Ron-Robert Zieler,GER,GK,23,1989,34,34,3060,34.0,62,1.82,192,130,67.7,13,6,15,8,23.5,,,,,
GER-Bundesliga,1213,Hoffenheim,Heurelho Gomes,BRA,GK,31,1981,9,9,773,8.6,9,1.05,31,22,71.0,3,1,5,2,22.2,,,,,
GER-Bundesliga,1213,Hoffenheim,Koen Casteels,BEL,GK,20,1992,16,15,1387,15.4,33,2.14,75,42,56.0,4,3,8,2,13.3,,,,,
GER-Bundesliga,1213,Hoffenheim,Tim Wiese,GER,GK,30,1981,10,10,900,10.0,25,2.5,54,29,53.7,1,3,6,1,10.0,,,,,
GER-Bundesliga,1213,Leverkusen,Bernd Leno,GER,GK,20,1992,32,32,2880,32.0,34,1.06,112,78,69.6,18,8,6,11,34.4,,,,,
GER-Bundesliga,1213,Leverkusen,Michael Rensing,GER,GK,28,1984,2,2,180,2.0,5,2.5,9,4,44.4,1,0,1,0,0.0,,,,,
GER-Bundesliga,1213,Mainz 05,Christian Wetklo,GER,GK,32,1980,31,31,2749,30.5,37,1.21,129,92,71.3,9,12,10,9,29.0,,,,,
GER-Bundesliga,1213,Mainz 05,Heinz Müller,GER,GK,34,1978,3,3,270,3.0,7,2.33,11,4,36.4,1,0,2,0,0.0,,,,,
GER-Bundesliga,1213,Mainz 05,Loris Karius,GER,GK,19,1993,1,0,41,0.5,0,0.0,1,1,100.0,0,0,0,0,,,,,,
GER-Bundesliga,1213,Nürnberg,Patrick Rakovsky,GER,GK,19,1993,4,3,315,3.5,3,0.86,14,11,78.6,1,1,2,1,33.3,,,,,
GER-Bundesliga,1213,Nürnberg,Raphael Schäfer,GER,GK,33,1979,31,31,2745,30.5,44,1.44,147,103,70.1,10,10,10,5,16.1,,,,,
GER-Bundesliga,1213,Schalke 04,Lars Unnerstall,GER,GK,22,1990,13,13,1170,13.0,16,1.23,44,28,63.6,7,2,4,4,30.8,,,,,
GER-Bundesliga,1213,Schalke 04,Timo Hildebrand,GER,GK,33,1979,21,21,1890,21.0,34,1.62,82,48,58.5,9,5,7,4,19.0,,,,,
GER-Bundesliga,1213,Stuttgart,Sven Ulreich,GER,GK,23,1988,34,34,3060,34.0,55,1.62,169,114,67.5,12,7,15,8,23.5,,,,,
GER-Bundesliga,1213,Werder Bremen,Sebastian Mielitz,GER,GK,23,1989,34,34,3060,34.0,66,1.94,157,91,58.0,8,10,16,3,8.8,,,,,
GER-Bundesliga,1213,Wolfsburg,Diego Benaglio,SUI,GK,28,1983,34,34,3060,34.0,52,1.53,162,110,67.9,10,13,11,5,14.7,,,,,
GER-Bundesliga,1314,Augsburg,Alex Manninger,AUT,GK,36,1977,13,13,1170,13.0,22,1.69,69,47,68.1,5,2,6,0,0.0,,,,,
GER-Bundesliga,1314,Augsburg,Marwin Hitz,SUI,GK,25,1987,19,19,1710,19.0,20,1.05,85,65,76.5,10,5,4,7,36.8,,,,,
GER-Bundesliga,1314,Augsburg,Mohamed Amsif,MAR,GK,24,1989,2,2,180,2.0,5,2.5,10,5,50.0,0,0,2,0,0.0,,,,,
GER-Bundesliga,1314,BTSV,Daniel Davari,IRN,GK,25,1988,29,29,2610,29.0,48,1.66,171,123,71.9,6,6,17,6,20.7,,,,,
GER-Bundesliga,1314,BTSV,Marjan Petković,GER,GK,34,1979,5,5,450,5.0,12,2.4,28,16,57.1,0,1,4,0,0.0,,,,,
GER-Bundesliga,1314,Bayern Munich,Lukas Raeder,GER,GK,19,1993,2,1,135,1.5,2,1.33,5,3,60.0,1,1,0,1,100.0,,,,,
GER-Bundesliga,1314,Bayern Munich,Manuel Neuer,GER,GK,27,1986,31,31,2745,30.5,18,0.59,99,81,81.8,26,2,2,15,48.4,,,,,
GER-Bundesliga,1314,Bayern Munich,Tom Starke,GER,GK,32,1981,2,2,180,2.0,3,1.5,12,9,75.0,2,0,0,1,50.0,,,,,
GER-Bundesliga,1314,Dortmund,Mitchell Langerak,AUS,GK,24,1988,4,4,360,4.0,5,1.25,14,9,64.3,3,1,0,1,25.0,,,,,
GER-Bundesliga,1314,Dortmund,Roman Weidenfeller,GER,GK,32,1980,30,30,2700,30.0,33,1.1,106,73,68.9,19,4,7,10,33.3,,,,,
GER-Bundesliga,1314,Eintracht Frankfurt,Felix Wiedwald,GER,GK,23,1990,1,0,14,0.2,0,0.0,0,0,,0,0,0,0,,,,,,
GER-Bundesliga,1314,Eintracht Frankfurt,Kevin Trapp,GER,GK,23,1990,34,34,3046,33.8,57,1.68,188,131,69.7,9,9,16,9,26.5,,,,,
GER-Bundesliga,1314,Freiburg,Alexander Schwolow,GER,GK,21,1992,1,1,90,1.0,3,3.0,10,7,70.0,0,0,1,0,0.0,,,,,
GER-Bundesliga,1314,Freiburg,Oliver Baumann,GER,GK,23,1990,33,33,2970,33.0,58,1.76,210,152,72.4,9,9,15,5,15.2,,,,,
GER-Bundesliga,1314,Gladbach,Marc-André ter Stegen,GER,GK,21,1992,34,34,3060,34.0,43,1.26,185,142,76.8,16,7,11,9,26.5,,,,,
GER-Bundesliga,1314,Hamburger SV,Jaroslav Drobný,CZE,GK,33,1979,4,4,360,4.0,12,3.0,21,9,42.9,0,0,4,0,0.0,,,,,
GER-Bundesliga,1314,Hamburger SV,René Adler,GER,GK,28,1985,30,30,2700,30.0,63,2.1,174,111,63.8,7,6,17,4,13.3,,,,,
GER-Bundesliga,1314,Hannover 96,Ron-Robert Zieler,GER,GK,24,1989,34,34,3060,34.0,59,1.74,184,125,67.9,12,6,16,6,17.6,,,,,
GER-Bundesliga,1314,Hertha BSC,Marius Gersbeck,GER,GK,18,1995,1,1,90,1.0,1,1.0,7,6,85.7,1,0,0,0,0.0,,,,,
GER-Bundesliga,1314,Hertha BSC,Rune Jarstein,NOR,GK,28,1984,1,1,90,1.0,2,2.0,6,4,66.7,0,0,1,0,0.0,,,,,
GER-Bundesliga,1314,Hertha BSC,Thomas Kraft,GER,GK,25,1988,32,32,2880,32.0,45,1.41,141,96,68.1,10,8,14,8,25.0,,,,,
GER-Bundesliga,1314,Hoffenheim,Alexander Stolz,GER,GK,29,1983,1,0,18,0.2,0,0.0,2,2,100.0,0,0,0,0,,,,,,
GER-Bundesliga,1314,Hoffenheim,Jens Grahl,GER,GK,24,1988,11,11,990,11.0,17,1.55,64,47,73.4,5,3,3,2,18.2,,,,,
GER-Bundesliga,1314,Hoffenheim,Koen Casteels,BEL,GK,21,1992,23,23,2052,22.8,53,2.32,128,75,58.6,6,8,9,1,4.3,,,,,
GER-Bundesliga,1314,Leverkusen,Bernd Leno,GER,GK,21,1992,34,34,3060,34.0,41,1.21,146,105,71.9,19,4,11,7,20.6,,,,,
GER-Bundesliga,1314,Mainz 05,Christian Wetklo,GER,GK,33,1980,2,1,135,1.5,5,3.33,9,4,44.4,0,1,1,0,0.0,,,,,
GER-Bundesliga,1314,Mainz 05,Heinz Müller,GER,GK,35,1978,10,10,855,9.5,18,1.89,65,47,72.3,4,0,5,2,20.0,,,,,
GER-Bundesliga,1314,Mainz 05,Loris Karius,GER,GK,20,1993,23,23,2070,23.0,31,1.35,132,101,76.5,12,4,7,9,39.1,,,,,
GER-Bundesliga,1314,Nürnberg,Patrick Rakovsky,GER,GK,20,1993,2,1,135,1.5,5,3.33,16,11,68.8,0,1,1,0,0.0,,,,,
GER-Bundesliga,1314,Nürnberg,Raphael Schäfer,GER,GK,34,1979,33,33,2925,32.5,65,2.0,221,156,70.6,5,10,17,4,12.1,,,,,
GER-Bundesliga,1314,Schalke 04,Ralf Fährmann,GER,GK,24,1988,22,22,1980,22.0,19,0.86,88,69,78.4,14,4,4,11,50.0,,,,,
GER-Bundesliga,1314,Schalke 04,Timo Hildebrand,GER,GK,34,1979,12,12,1080,12.0,24,2.0,64,40,62.5,5,3,4,3,25.0,,,,,
GER-Bundesliga,1314,Stuttgart,Sven Ulreich,GER,GK,24,1988,31,31,2790,31.0,58,1.87,171,113,66.1,7,6,18,4,12.9,,,,,
GER-Bundesliga,1314,Stuttgart,Thorsten Kirschbaum,GER,GK,26,1987,3,3,270,3.0,4,1.33,14,10,71.4,1,2,0,1,33.3,,,,,
GER-Bundesliga,1314,Werder Bremen,Raphael Wolf,GER,GK,25,1988,21,21,1890,21.0,43,2.05,121,78,64.5,6,6,9,6,28.6,,,,,
GER-Bundesliga,1314,Werder Bremen,Sebastian Mielitz,GER,GK,24,1989,13,13,1170,13.0,23,1.77,86,63,73.3,4,3,6,4,30.8,,,,,
GER-Bundesliga,1314,Wolfsburg,Diego Benaglio,SUI,GK,29,1983,29,29,2565,28.5,43,1.51,134,91,67.9,15,5,9,5,17.2,,,,,
GER-Bundesliga,1314,Wolfsburg,Max Grün,GER,GK,26,1987,6,5,495,5.5,7,1.27,19,12,63.2,3,1,1,0,0.0,,,,,
GER-Bundesliga,1415,Augsburg,Alex Manninger,AUT,GK,37,1977,9,9,810,9.0,15,1.67,44,29,65.9,5,1,3,1,11.1,,,,,
GER-Bundesliga,1415,Augsburg,Marwin Hitz,SUI,GK,26,1987,25,25,2250,25.0,28,1.12,118,90,76.3,10,3,12,9,36.0,,,,,
GER-Bundesliga,1415,Bayern Munich,Manuel Neuer,GER,GK,28,1986,32,31,2867,31.9,18,0.57,94,76,80.9,24,4,4,20,64.5,,,,,
GER-Bundesliga,1415,Bayern Munich,Pepe Reina,ESP,GK,31,1982,3,3,193,2.1,0,0.0,5,5,100.0,1,0,1,2,66.7,,,,,
GER-Bundesliga,1415,Dortmund,Mitchell Langerak,AUS,GK,25,1988,9,9,810,9.0,10,1.11,25,15,60.0,3,2,4,3,33.3,,,,,
GER-Bundesliga,1415,Dortmund,Roman Weidenfeller,GER,GK,33,1980,25,25,2250,25.0,32,1.28,84,52,61.9,10,5,10,7,28.0,,,,,
GER-Bundesliga,1415,Eintracht Frankfurt,Felix Wiedwald,GER,GK,24,1990,10,9,811,9.0,19,2.11,36,17,47.2,5,1,4,2,22.2,,,,,
GER-Bundesliga,1415,Eintracht Frankfurt,Kevin Trapp,GER,GK,24,1990,22,22,1979,22.0,35,1.59,122,87,71.3,6,7,8,4,18.2,,,,,
GER-Bundesliga,1415,Eintracht Frankfurt,Timo Hildebrand,GER,GK,35,1979,3,3,270,3.0,8,2.67,18,10,55.6,0,2,1,0,0.0,,,,,
GER-Bundesliga,1415,Freiburg,Roman Bürki,SUI,GK,23,1990,34,34,3060,34.0,47,1.38,208,161,77.4,7,13,14,9,26.5,,,,,
GER-Bundesliga,1415,Gladbach,Yann Sommer,SUI,GK,25,1988,34,34,3060,34.0,26,0.76,157,131,83.4,19,9,6,15,44.1,,,,,
GER-Bundesliga,1415,Hamburger SV,Jaroslav Drobný,CZE,GK,34,1979,23,23,2000,22.2,30,1.35,120,90,75.0,6,6,10,8,34.8,,,,,
GER-Bundesliga,1415,Hamburger SV,René Adler,GER,GK,29,1985,12,11,1060,11.8,20,1.7,74,54,73.0,3,2,7,2,18.2,,,,,
GER-Bundesliga,1415,Hannover 96,Ron-Robert Zieler,GER,GK,25,1989,34,34,3060,34.0,56,1.65,169,113,66.9,9,10,15,7,20.6,,,,,
GER-Bundesliga,1415,Hertha BSC,Rune Jarstein,NOR,GK,29,1984,1,1,90,1.0,4,4.0,7,3,42.9,0,0,1,0,0.0,,,,,
GER-Bundesliga,1415,Hertha BSC,Sascha Burchert,GER,GK,24,1989,2,1,98,1.1,1,0.92,7,6,85.7,0,1,1,1,100.0,,,,,
GER-Bundesliga,1415,Hertha BSC,Thomas Kraft,GER,GK,26,1988,32,32,2872,31.9,47,1.47,139,92,66.2,9,7,15,9,28.1,,,,,
GER-Bundesliga,1415,Hoffenheim,Oliver Baumann,GER,GK,24,1990,34,34,3060,34.0,55,1.62,165,110,66.7,12,8,14,8,23.5,,,,,
GER-Bundesliga,1415,Köln,Thomas Kessler,GER,GK,28,1986,1,1,90,1.0,2,2.0,6,4,66.7,0,0,1,0,0.0,,,,,
GER-Bundesliga,1415,Köln,Timo Horn,GER,GK,21,1993,33,33,2970,33.0,38,1.15,153,115,75.2,9,13,11,13,39.4,,,,,
GER-Bundesliga,1415,Leverkusen,Bernd Leno,GER,GK,22,1992,34,34,3060,34.0,37,1.09,116,79,68.1,17,10,7,16,47.1,,,,,
GER-Bundesliga,1415,Mainz 05,Loris Karius,GER,GK,21,1993,33,33,2912,32.4,41,1.27,165,124,75.2,9,13,10,10,30.3,,,,,
GER-Bundesliga,1415,Mainz 05,Stefanos Kapino,GRE,GK,20,1994,2,1,148,1.6,6,3.65,13,7,53.8,0,0,2,0,0.0,,,,,
GER-Bundesliga,1415,Paderborn 07,Lukas Kruse,GER,GK,31,1983,34,34,3060,34.0,65,1.91,177,112,63.3,7,10,17,6,17.6,,,,,
GER-Bundesliga,1415,Schalke 04,Fabian Giefer,GER,GK,24,1990,2,2,135,1.5,0,0.0,1,1,100.0,1,1,0,2,100.0,,,,,
GER-Bundesliga,1415,Schalke 04,Ralf Fährmann,GER,GK,25,1988,25,25,2250,25.0,30,1.2,132,102,77.3,10,6,9,7,28.0,,,,,
GER-Bundesliga,1415,Schalke 04,Timon Wellenreuther,GER,GK,18,1995,8,7,675,7.5,10,1.33,43,33,76.7,2,3,3,1,14.3,,,,,
GER-Bundesliga,1415,Stuttgart,Sven Ulreich,GER,GK,25,1988,28,28,2520,28.0,44,1.57,131,87,66.4,7,8,13,5,17.9,,,,,
GER-Bundesliga,1415,Stuttgart,Thorsten Kirschbaum,GER,GK,27,1987,6,6,540,6.0,16,2.67,38,22,57.9,2,1,3,1,16.7,,,,,
GER-Bundesliga,1415,Werder Bremen,Koen Casteels,BEL,GK,22,1992,6,6,540,6.0,8,1.33,30,22,73.3,2,2,2,2,33.3,,,,,
GER-Bundesliga,1415,Werder Bremen,Raphael Wolf,GER,GK,26,1988,27,27,2398,26.6,51,1.91,121,70,57.9,9,7,10,5,18.5,,,,,
GER-Bundesliga,1415,Werder Bremen,Richard Strebinger,AUT,GK,21,1993,2,1,122,1.4,6,4.43,15,9,60.0,0,1,1,0,0.0,,,,,
GER-Bundesliga,1415,Wolfsburg,Diego Benaglio,SUI,GK,30,1983,31,31,2790,31.0,32,1.03,130,98,75.4,20,7,4,8,25.8,,,,,
GER-Bundesliga,1415,Wolfsburg,Max Grün,GER,GK,27,1987,3,3,270,3.0,6,2.0,15,9,60.0,0,2,1,0,0.0,,,,,
GER-Bundesliga,1516,Augsburg,Alex Manninger,AUT,GK,38,1977,2,1,94,1.0,3,2.87,5,2,40.0,0,0,1,0,0.0,,,,,
GER-Bundesliga,1516,Augsburg,Marwin Hitz,SUI,GK,27,1987,33,33,2966,33.0,49,1.49,176,127,72.2,9,11,13,11,33.3,,,,,
GER-Bundesliga,1516,Bayern Munich,Manuel Neuer,GER,GK,29,1986,34,34,3020,33.6,16,0.48,80,64,80.0,28,4,2,20,58.8,,,,,
GER-Bundesliga,1516,Bayern Munich,Sven Ulreich,GER,GK,26,1988,1,0,40,0.4,1,2.25,4,3,75.0,0,0,0,0,,,,,,
GER-Bundesliga,1516,Darmstadt 98,Christian Mathenia,GER,GK,23,1992,33,33,2970,33.0,51,1.55,152,101,66.4,9,11,13,8,24.2,,,,,
GER-Bundesliga,1516,Darmstadt 98,Łukasz Załuska,POL,GK,33,1982,1,1,90,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,,,,,
GER-Bundesliga,1516,Dortmund,Roman Bürki,SUI,GK,24,1990,33,33,2970,33.0,34,1.03,105,71,67.6,23,6,4,12,36.4,,,,,
GER-Bundesliga,1516,Dortmund,Roman Weidenfeller,GER,GK,34,1980,1,1,90,1.0,0,0.0,1,1,100.0,1,0,0,1,100.0,,,,,
GER-Bundesliga,1516,Eintracht Frankfurt,Lukáš Hrádecký,FIN,GK,25,1989,34,34,3060,34.0,52,1.53,180,128,71.1,9,9,16,8,23.5,,,,,
GER-Bundesliga,1516,Gladbach,Tobias Sippel,GER,GK,27,1988,2,2,180,2.0,0,0.0,3,3,100.0,2,0,0,2,100.0,,,,,
GER-Bundesliga,1516,Gladbach,Yann Sommer,SUI,GK,26,1988,32,32,2880,32.0,50,1.56,149,99,66.4,15,4,13,5,15.6,,,,,
GER-Bundesliga,1516,Hamburger SV,Andreas Hirzel,SUI,GK,22,1993,1,0,51,0.6,2,3.53,3,1,33.3,0,0,1,0,,,,,,
GER-Bundesliga,1516,Hamburger SV,Jaroslav Drobný,CZE,GK,35,1979,10,9,847,9.4,10,1.06,45,35,77.8,3,2,4,4,44.4,,,,,
GER-Bundesliga,1516,Hamburger SV,René Adler,GER,GK,30,1985,24,24,2071,23.0,33,1.43,114,81,71.1,7,6,10,5,20.8,,,,,
GER-Bundesliga,1516,Hamburger SV,Tom Mickel,GER,GK,26,1989,1,1,90,1.0,1,1.0,7,6,85.7,1,0,0,0,0.0,,,,,
GER-Bundesliga,1516,Hannover 96,Ron-Robert Zieler,GER,GK,26,1989,34,34,3060,34.0,62,1.82,205,143,69.8,7,4,23,5,14.7,,,,,
GER-Bundesliga,1516,Hertha BSC,Rune Jarstein,NOR,GK,30,1984,29,28,2565,28.5,36,1.26,123,87,70.7,12,7,9,12,42.9,,,,,
GER-Bundesliga,1516,Hertha BSC,Thomas Kraft,GER,GK,27,1988,6,6,495,5.5,7,1.27,23,16,69.6,2,1,3,1,16.7,,,,,
GER-Bundesliga,1516,Hoffenheim,Jens Grahl,GER,GK,26,1988,1,1,90,1.0,4,4.0,8,4,50.0,0,0,1,0,0.0,,,,,
GER-Bundesliga,1516,Hoffenheim,Oliver Baumann,GER,GK,25,1990,33,33,2970,33.0,50,1.52,195,145,74.4,9,10,14,6,18.2,,,,,
GER-Bundesliga,1516,Ingolstadt,Ramazan Özcan,AUT,GK,31,1984,28,28,2520,28.0,29,1.04,93,64,68.8,10,8,10,10,35.7,,,,,
